tokenizer,dataset,language,fertility
BERT (EN),CS Hindi-Eng,cs,2.9166666666666665
BERT (EN),CS Hindi-Eng,cy,2.0
BERT (EN),CS Hindi-Eng,da,1.9166666666666667
BERT (EN),CS Hindi-Eng,de,1.946058091286307
BERT (EN),CS Hindi-Eng,en,1.5915678524374177
BERT (EN),CS Hindi-Eng,es,1.9649122807017543
BERT (EN),CS Hindi-Eng,et,2.4390243902439024
BERT (EN),CS Hindi-Eng,eu,2.2745098039215685
BERT (EN),CS Hindi-Eng,fi,2.2
BERT (EN),CS Hindi-Eng,fr,1.6470588235294117
BERT (EN),CS Hindi-Eng,ga,2.5
BERT (EN),CS Hindi-Eng,id,3.0
BERT (EN),CS Hindi-Eng,it,1.7727272727272727
BERT (EN),CS Hindi-Eng,lt,2.25
BERT (EN),CS Hindi-Eng,lv,2.3333333333333335
BERT (EN),CS Hindi-Eng,ms,3.5
BERT (EN),CS Hindi-Eng,mt,2.238095238095238
BERT (EN),CS Hindi-Eng,nl,2.4661654135338344
BERT (EN),CS Hindi-Eng,oc,2.0
BERT (EN),CS Hindi-Eng,pl,2.238095238095238
BERT (EN),CS Hindi-Eng,pt,2.1666666666666665
BERT (EN),CS Hindi-Eng,ro,1.6153846153846154
BERT (EN),CS Hindi-Eng,sl,1.4444444444444444
BERT (EN),CS Hindi-Eng,sv,1.951219512195122
BERT (EN),CS Hindi-Eng,sw,3.0
BERT (EN),CS Hindi-Eng,tl,4.0
BERT (EN),CS Hindi-Eng,tr,2.0
BERT (EN),CS Hindi-Eng,vo,2.0
BERT (EN),CS Hindi-Eng,xh,4.0
BERT (EN),CS Hindi-Eng,zh,2.1
BERT (EN),CS Spanish-Eng,br,3.0
BERT (EN),CS Spanish-Eng,ca,1.0
BERT (EN),CS Spanish-Eng,cs,4.0
BERT (EN),CS Spanish-Eng,da,4.0
BERT (EN),CS Spanish-Eng,de,2.0
BERT (EN),CS Spanish-Eng,en,1.3966101694915254
BERT (EN),CS Spanish-Eng,es,2.627906976744186
BERT (EN),CS Spanish-Eng,eu,2.5
BERT (EN),CS Spanish-Eng,fr,2.6666666666666665
BERT (EN),CS Spanish-Eng,ga,2.0
BERT (EN),CS Spanish-Eng,hu,1.3333333333333333
BERT (EN),CS Spanish-Eng,it,2.6
BERT (EN),CS Spanish-Eng,ja,1.0
BERT (EN),CS Spanish-Eng,lt,2.75
BERT (EN),CS Spanish-Eng,nl,1.3333333333333333
BERT (EN),CS Spanish-Eng,pl,1.0
BERT (EN),CS Spanish-Eng,ro,2.0
BERT (EN),CS Spanish-Eng,sv,2.5
BERT (EN),CS Spanish-Eng,tr,3.0
BETO (ES),CS Hindi-Eng,cs,2.0833333333333335
BETO (ES),CS Hindi-Eng,cy,5.0
BETO (ES),CS Hindi-Eng,da,1.75
BETO (ES),CS Hindi-Eng,de,2.112033195020747
BETO (ES),CS Hindi-Eng,en,1.792709705753184
BETO (ES),CS Hindi-Eng,es,2.6140350877192984
