tokenizer_name,mean_fertility,mean_oov_rate,mean_seq_inflation,vocab_coverage,dataset
BERT (EN),1.7257493809435516,0.0,1.7257493809435516,47.76680360108382,CS Hindi-Eng
BETO (ES),1.9148198493154853,0.1045551704024504,1.9148198493154853,33.42802202604667,CS Hindi-Eng
GPT-2 (EN),1.8475714187613277,0.0,1.8475714187613277,39.21422952539114,CS Hindi-Eng
mBERT,1.770930539685723,0.0,1.770930539685723,46.51691285726772,CS Hindi-Eng
XLM-R,1.5257799717078675,0.0,1.5257799717078675,59.946682982256796,CS Hindi-Eng
mT5,1.620465770419244,0.0,1.620465770419244,51.3460361856481,CS Hindi-Eng
BERT (EN),1.650138888888889,0.0,1.650138888888889,59.31758530183727,CS Spanish-Eng
BETO (ES),1.4439709595959596,1.339781746031746,1.4439709595959596,68.24146981627297,CS Spanish-Eng
GPT-2 (EN),1.7030997474747473,0.0,1.7030997474747473,50.91863517060368,CS Spanish-Eng
mBERT,1.4098800505050506,0.0,1.4098800505050506,70.60367454068242,CS Spanish-Eng
XLM-R,1.3310858585858587,0.0,1.3310858585858587,74.54068241469817,CS Spanish-Eng
mT5,1.6323232323232326,0.0,1.6323232323232326,52.75590551181102,CS Spanish-Eng
BERT (EN),1.4541593314846126,0.051174089068825916,1.4541593314846126,77.95673076923076,Mono English
BETO (ES),1.77557692999998,9.548118811889548,1.77557692999998,55.504807692307686,Mono English
GPT-2 (EN),1.5774073799113768,0.0,1.5774073799113768,64.95192307692308,Mono English
mBERT,1.469788841176053,1.674679444169946,1.469788841176053,76.27403846153847,Mono English
XLM-R,1.591400422496649,0.0,1.591400422496649,63.50961538461538,Mono English
mT5,1.6648213192372918,0.0,1.6648213192372918,52.13942307692307,Mono English
BERT (EN),1.7989143015205957,0.0,1.7989143015205957,58.0984825023227,Mono Spanish
BETO (ES),1.49566798020059,10.40389386990086,1.49566798020059,69.68101579436357,Mono Spanish
GPT-2 (EN),2.127270626848933,0.0,2.127270626848933,48.807680396407555,Mono Spanish
mBERT,1.7827975323399372,0.4586591804322607,1.7827975323399372,69.65004645401052,Mono Spanish
XLM-R,1.6642523336955775,0.0,1.6642523336955775,61.5980179622174,Mono Spanish
mT5,1.8316971907657245,0.0,1.8316971907657245,40.941467946732736,Mono Spanish
BERT (EN),3.519252198442439,4.688057889667751,3.519252198442439,32.77639530750089,Mono Hindi
BETO (ES),1.113258502422108,82.28388137409793,1.113258502422108,89.93956629932457,Mono Hindi
GPT-2 (EN),8.936669275363707,0.0,8.936669275363707,21.933878421613937,Mono Hindi
mBERT,2.621368555803173,0.2534557824168482,2.621368555803173,41.66370423035905,Mono Hindi
XLM-R,1.8548258448690385,0.0,1.8548258448690385,54.070387486669034,Mono Hindi
mT5,2.3505693585555316,0.0,2.3505693585555316,20.618556701030926,Mono Hindi
